scientific_name	rank
Abietinaria	genus
Ablabesmyia	genus
Abra	genus
Abyssoninoe	genus
Acanthocardia	genus
Acanthocorbis	genus
Acanthoica	genus
Acantholeberis	genus
Acanthostomella	genus
Acartia	genus
Acaulis	genus
Acentria	genus
Acesta	genus
Achnanthes	genus
Achnanthidium	genus
Acidostoma	genus
Aclis	genus
Acrochaete	genus
Acrochaetium	genus
Acrosiphonia	genus
Acteon	genus
Actinastrum	genus
Actiniscus	genus
Actinocyclus	genus
Actinomonas	genus
Actinoptychus	genus
Actinostola	genus
Adontorhina	genus
Aegagropila	genus
Aegisthus	genus
Aeolidia	genus
Aeolidiella	genus
Aequipecten	genus
Aglantha	genus
Aglaophamus	genus
Aglaothamnion	genus
Agonus	genus
Agraylea	genus
Agrostis	genus
Agrypnia	genus
Ahnfeltia	genus
Akashiwo	genus
Akera	genus
Alcyonidium	genus
Alcyonium	genus
Alderia	genus
Aldisa	genus
Alexandrium	genus
Alisma	genus
Alitta	genus
Alkmaria	genus
Alvania	genus
Amaeana	genus
Amblyops	genus
Amblyraja	genus
Ammodytes	genus
Ampelisca	genus
Ampharete	genus
Amphibalanus	genus
Amphicteis	genus
Amphictene	genus
Amphidinium	genus
Amphilepis	genus
Amphilochoides	genus
Amphiprora	genus
Amphitrite	genus
Amphitritides	genus
Amphiura	genus
Amphora	genus
Ampithoe	genus
Ampullaceana	genus
Amylax	genus
Amythasides	genus
Anabaena	genus
Anabaenopsis	genus
Anapagurus	genus
Anathece	genus
Andaniopsis	genus
Aneumastus	genus
Anguilla	genus
Ankistrodesmus	genus
Ankyra	genus
Anobothrus	genus
Anodonta	genus
Anomalocera	genus
Anonyx	genus
Anoplodactylus	genus
Ansates	genus
Antalis	genus
Antedon	genus
Antho	genus
Antithamnion	genus
Aonides	genus
Aora	genus
Apedinella	genus
Aphanizomenon	genus
Aphanocapsa	genus
Aphanothece	genus
Aphelochaeta	genus
Apherusa	genus
Aphia	genus
Aphroceras	genus
Aphrodita	genus
Apistobranchus	genus
Aplidium	genus
Aplysia	genus
Aplysilla	genus
Apocorophium	genus
Apoglossum	genus
Aporrhais	genus
Apsectrotanypus	genus
Apseudes	genus
Araphura	genus
Archaeperidinium	genus
Arcteonais	genus
Arctica	genus
Arenicola	genus
Argissa	genus
Argulus	genus
Aricidea	genus
Armina	genus
Arnoglossus	genus
Arrhis	genus
Artacama	genus
Arthroplea	genus
Asbjornsenia	genus
Ascidia	genus
Ascidiella	genus
Ascophyllum	genus
Asellus	genus
Asperococcus	genus
Asplanchna	genus
Astacilla	genus
Astarte	genus
Asterias	genus
Asterionella	genus
Asterionellopsis	genus
Asteronyx	genus
Asterope	genus
Astropecten	genus
Athanas	genus
Athelges	genus
Atherospio	genus
Athripsodes	genus
Atlantopandalus	genus
Attheya	genus
Audouinella	genus
Augeneria	genus
Aulacoseira	genus
Aulodrilus	genus
Aurelia	genus
Aurospio	genus
Austrominius	genus
Autonoe	genus
Axinella	genus
Azadinium	genus
Bacillaria	genus
Bacteriastrum	genus
Bacterosira	genus
Baeonectes	genus
Baetis	genus
Balanion	genus
Balanus	genus
Baltidrilus	genus
Bathyarca	genus
Bathymedon	genus
Bathyomphalus	genus
Bathypolypus	genus
Bathyporeia	genus
Batrachospermum	genus
Battersia	genus
Beggiatoa	genus
Bela	genus
Belonastrum	genus
Berkeleya	genus
Beroe	genus
Bicosoeca	genus
Bicosta	genus
Biecheleria	genus
Binuclearia	genus
Bithynia	genus
Bitrichia	genus
Bittium	genus
Blidingia	genus
Bodotria	genus
Bolboschoenus	genus
Bolinopsis	genus
Bolocera	genus
Bonellia	genus
Bonnemaisonia	genus
Boreochiton	genus
Bosmina	genus
Botrylloides	genus
Botryllus	genus
Botryococcus	genus
Brachionus	genus
Brachydiastylis	genus
Brachystomia	genus
Brada	genus
Branchiomma	genus
Branchiostoma	genus
Brissopsis	genus
Brongniartella	genus
Brosme	genus
Brychius	genus
Bryopsis	genus
Buccinum	genus
Bugula	genus
Butomus	genus
Byblis	genus
Bylgides	genus
Caberea	genus
Caenis	genus
Cafeteria	genus
Calanus	genus
Caligus	genus
Calliacantha	genus
Callianassa	genus
Calliergon	genus
Callinera	genus
Callionymus	genus
Calliopius	genus
Callithamnion	genus
Callitriche	genus
Callochiton	genus
Callophyllis	genus
Callopora	genus
Calocarides	genus
Calocaris	genus
Caloneis	genus
Calothrix	genus
Calycomonas	genus
Campylaspis	genus
Campylodiscus	genus
Cancer	genus
Candacia	genus
Capitella	genus
Caprella	genus
Capulus	genus
Carcinus	genus
Carex	genus
Carinina	genus
Carteria	genus
Caryophyllia	genus
Caulleriella	genus
Centraloecetes	genus
Centritractus	genus
Centrolabrus	genus
Centropages	genus
Centroptilum	genus
Ceramaster	genus
Ceramium	genus
Cerastoderma	genus
Cerataulina	genus
Ceratium	genus
Ceratocephale	genus
Ceratophyllum	genus
Cercopagis	genus
Cerebratulus	genus
Cerianthus	genus
Ceriodaphnia	genus
Chaetoceros	genus
Chaetocladius	genus
Chaetoderma	genus
Chaetomorpha	genus
Chaetoparia	genus
Chaetopteris	genus
Chaetopterus	genus
Chaetozone	genus
Chalinula	genus
Chamelea	genus
Chaoborus	genus
Chara	genus
Chattonella	genus
Cheirocratus	genus
Chimaera	genus
Chirimia	genus
Chirolophis	genus
Chirona	genus
Chironomus	genus
Chlamydocapsa	genus
Chlamydomonas	genus
Chlorogonium	genus
Chondrus	genus
Chone	genus
Chorda	genus
Chordaria	genus
Chroococcus	genus
Chroomonas	genus
Chrysidiastrum	genus
Chrysochromulina	genus
Chrysococcus	genus
Chrysolykos	genus
Chrysotila	genus
Cicuta	genus
Ciliophrys	genus
Ciona	genus
Cirratulus	genus
Cirrophorus	genus
Cladopelma	genus
Cladophora	genus
Cladopyxis	genus
Cladostephus	genus
Cladotanytarsus	genus
Clathrina	genus
Clausinella	genus
Clausocalanus	genus
Clava	genus
Clavelina	genus
Clavella	genus
Cliona	genus
Closteriopsis	genus
Closterium	genus
Clupea	genus
Clymenura	genus
Clytemnestra	genus
Clytia	genus
Cocconeis	genus
Coccotylus	genus
Cochlodesma	genus
Cochlodinium	genus
Codium	genus
Coelastrum	genus
Coelomoron	genus
Coelosphaerium	genus
Coenocystis	genus
Colacium	genus
Colaconema	genus
Collotheca	genus
Colpomenia	genus
Comasiella	genus
Commation	genus
Commensodorum	genus
Compsothamnion	genus
Conchoecia	genus
Conticribra	genus
Corallina	genus
Corbula	genus
Cordulia	genus
Cordylophora	genus
Corella	genus
Corethron	genus
Coronosphaera	genus
Corophium	genus
Corycaeus	genus
Corymbellus	genus
Corymorpha	genus
Coryphella	genus
Corythodinium	genus
Coscinodiscopsis	genus
Coscinodiscus	genus
Cosmarium	genus
Cossura	genus
Cottus	genus
Coxliella	genus
Crangon	genus
Crania	genus
Crassicorophium	genus
Crassula	genus
Craticula	genus
Crenella	genus
Crepidula	genus
Cricotopus	genus
Crisia	genus
Crisilla	genus
Cristatella	genus
Crossaster	genus
Crucigenia	genus
Cruoria	genus
Cryothecomonas	genus
Cryptaulax	genus
Cryptocelides	genus
Cryptochironomus	genus
Cryptomonas	genus
Cryptosula	genus
Cryptotendipes	genus
Ctenolabrus	genus
Ctenophora	genus
Culex	genus
Curtitoma	genus
Cuspidaria	genus
Cuspidothrix	genus
Cutleria	genus
Cyanea	genus
Cyanodictyon	genus
Cyanonephron	genus
Cyanophthalma	genus
Cyathura	genus
Cyclops	genus
Cyclotella	genus
Cyclotrichium	genus
Cylichna	genus
Cylindrotheca	genus
Cymatopleura	genus
Cymatosira	genus
Cymbella	genus
Cymbomonas	genus
Cyrnus	genus
Cystoclonium	genus
Dactyliosolen	genus
Daphnia	genus
Dasya	genus
Dasysiphonia	genus
Daturella	genus
Deflexilodes	genus
Delectopecten	genus
Delesseria	genus
Demicryptochironomus	genus
Dendrocoelum	genus
Dendrodoa	genus
Dentalium	genus
Derbesia	genus
Deshayesorchestia	genus
Desmarella	genus
Desmarestia	genus
Desmatractum	genus
Desmidium	genus
Desmodesmus	genus
Desmophyllum	genus
Desmosoma	genus
Detonula	genus
Dexamine	genus
Diaphana	genus
Diaphanoeca	genus
Diaphanosoma	genus
Diaptomus	genus
Diastylis	genus
Diastyloides	genus
Diatoma	genus
Dicroerisma	genus
Dicrotendipes	genus
Dictyocha	genus
Dictyosiphon	genus
Dictyosphaerium	genus
Dictyota	genus
Didinium	genus
Dilsea	genus
Dinobryon	genus
Dinophysis	genus
Diplocirrus	genus
Diploneis	genus
Diplopsalis	genus
Diplopsalopsis	genus
Diplosoma	genus
Dipolydora	genus
Dissodinium	genus
Ditrichocorycaeus	genus
Ditylum	genus
Dodecaceria	genus
Dolichospermum	genus
Doliolum	genus
Donacia	genus
Doris	genus
Dosinia	genus
Doto	genus
Dreissena	genus
Drepanocladus	genus
Drilonereis	genus
Dudresnaya	genus
Dulichia	genus
Dumontia	genus
Durinskia	genus
Dynamena	genus
Dyopedos	genus
Ebalia	genus
Ebria	genus
Echinocardium	genus
Echinocyamus	genus
Echinocythereis	genus
Echinogammarus	genus
Echinus	genus
Echiurus	genus
Eclysippe	genus
Ecnomus	genus
Ecrobia	genus
Ectocarpus	genus
Ectopleura	genus
Edmundsella	genus
Edukemius	genus
Edwardsia	genus
Einfeldia	genus
Einhornia	genus
Eiseniella	genus
Elachista	genus
Elakatothrix	genus
Elatine	genus
Electra	genus
Eleocharis	genus
Elodea	genus
Elysia	genus
Emarginula	genus
Emiliania	genus
Endochironomus	genus
Enipo	genus
Ennucula	genus
Ensiculifera	genus
Ensis	genus
Entalina	genus
Entelurus	genus
Entomoneis	genus
Ephemera	genus
Ephydatia	genus
Epipyxis	genus
Epithemia	genus
Epitonium	genus
Equisetum	genus
Ericthonius	genus
Eriopisa	genus
Erpobdella	genus
Erythrocladia	genus
Erythrodermis	genus
Erythromma	genus
Erythrops	genus
Esox	genus
Eteone	genus
Euastrum	genus
Eucampia	genus
Eucapsis	genus
Euchlanis	genus
Euchone	genus
Euclymene	genus
Eudendrium	genus
Eudesme	genus
Eudorella	genus
Eudorellopsis	genus
Eudorina	genus
Eugerda	genus
Euglena	genus
Eugyra	genus
Eulalia	genus
Eulimella	genus
Eumida	genus
Eunereis	genus
Eunoe	genus
Eunotia	genus
Euphausia	genus
Euphysa	genus
Eupolymnia	genus
Eurycope	genus
Eurydice	genus
Eurynome	genus
Eurytemora	genus
Euspira	genus
Euterpina	genus
Eutetramorus	genus
Euthora	genus
Eutintinnus	genus
Eutreptia	genus
Eutreptiella	genus
Eutrigla	genus
Evadne	genus
Exogone	genus
Fabricia	genus
Fabriciola	genus
Fabulina	genus
Facelina	genus
Favella	genus
Fibrocapsa	genus
Filinia	genus
Filograna	genus
Fissidens	genus
Fjordia	genus
Flabelligera	genus
Flabellina	genus
Flustra	genus
Fontinalis	genus
Fragilaria	genus
Fragilariopsis	genus
Fragilidium	genus
Fritillaria	genus
Fucus	genus
Funiculina	genus
Furcellaria	genus
Fusola	genus
Gadus	genus
Galathea	genus
Galathowenia	genus
Galba	genus
Gammarellus	genus
Gammaropsis	genus
Gammarus	genus
Gari	genus
Gasterosteus	genus
Gastrosaccus	genus
Gattyana	genus
