taxon_name_from	taxon_name_to	Match_type	Match_origin	taxon_id (if not in DynTaxa)	Note
218387	Mytilus edulis	antag felstav			
219603	Ruppia spiralis	dyntaxaid			
221782	Plantago uniflora	dyntaxaid			
322829	Cladophora rupestris	felstav			rätt 232829
###Apocalathium	Scrippsiella	antag felstav			Tills att Dyntaxa är uppdaterat. Kom ihåg att ta bort den bakvända översättningen när dessa aktiveras (t.ex. Octactis speculum -> Dictyocha speculum)
###Cocconeis placentula	Cocconeis placentula s.lat.	OK		237797	
###Dictyocha speculum	Octactis speculum	antag felstav			Tills att Dyntaxa är uppdaterat. Kom ihåg att ta bort den bakvända översättningen när dessa aktiveras (t.ex. Octactis speculum -> Dictyocha speculum)
###Eukaryota					
###Eukaryotic picoplankton species incertae sedis				99990004	AA filterfunktion
###Flagellate				99990002	AA filterfunktion
###Fragilaria capucina	Fragilaria capucina s.lat.	OK		238013	
###Gomphonema olivaceum	Gomphonema olivaceum s.lat.	Exact	Dyntaxa		
###Gymnodinium simplex	Protodinium simplex	antag felstav			Tills att Dyntaxa är uppdaterat. Kom ihåg att ta bort den bakvända översättningen när dessa aktiveras (t.ex. Octactis speculum -> Dictyocha speculum)
###Monoraphidium arcuatum	Ankistrodesmus arcuatus	antag felstav			Tills att Dyntaxa är uppdaterat. Kom ihåg att ta bort den bakvända översättningen när dessa aktiveras (t.ex. Octactis speculum -> Dictyocha speculum)
###Odontella sinensis	Trieres chinensis	antag felstav			Tills att Dyntaxa är uppdaterat. Kom ihåg att ta bort den bakvända översättningen när dessa aktiveras (t.ex. Octactis speculum -> Dictyocha speculum)
###Oocystis solitaria	Neglectella solitaria	antag felstav			Tills att Dyntaxa är uppdaterat. Kom ihåg att ta bort den bakvända översättningen när dessa aktiveras (t.ex. Octactis speculum -> Dictyocha speculum)
###Paraphysomonas	Paraphysomonas s.lat.	Exact	Dyntaxa		
###Pectinaria	Pectinaria s.lat.	OK		1007565	
###Picoplankton				99990005	AA filterfunktion
###Rhodomonas baltica	Cryptomonas baltica	antag felstav			Tills att Dyntaxa är uppdaterat. Kom ihåg att ta bort den bakvända översättningen när dessa aktiveras (t.ex. Octactis speculum -> Dictyocha speculum)
###Scrippsiella hangoei	Apocalathium malmogiense	antag felstav			automatic dyntaxa translation. Båda accepterade i Dyntaxa Odontella sinensis accepterad i HELCOM PEG
###Scrippsiella trochoidea	Scrippsiella acuminata	antag felstav			Tills att Dyntaxa är uppdaterat borde denna översättning göras. Men eftersom några stlcl inom Scrippsiella fortfarande ska heta Scrippsiella kommenterades denna ut för att kunna leverera enligt HELCOM PEG 
###Synedra ulna	Ulnaria ulna s.lat.	OK		262369	
###test				99990099	AA filterfunktion
###Unicell				99990001	AA filterfunktion
###Unicells and flagellates				99990003	AA filterfunktion
Abyssoninoe hibarnica	Abyssoninoe hibernica	antag felstav			
Acarina	Acari	Exact	Dyntaxa		
Acartia (Acanthacartia) bifilosa	Acartia bifilosa	Exact	Dyntaxa		
Acartia (Acanthacartia) tonsa	Acartia tonsa	Exact	Dyntaxa		
Acartia (Acartiura) longiremis	Acartia longiremis	Exact	Dyntaxa		
Achnanthes longipes	Achnanthes armillaris	Exact	Dyntaxa		
Achnanthes taeniata	Pauliella taeniata	OK		237490	
Acidostoma nodiferum	Acidostoma obesum	exact	Worms		
Acidostoma obesun	Acidostoma obesum	antag felstav			
Acmaea	Tectura	Exact	Dyntaxa		
Acrosiphonia/Spongomorpha	Ulotrichaceae	antag felstav			
Acrosiphoniaceae	Ulotrichaceae	exact	Worms		
actiniaria	Actiniaria	felstav			
Actiniarida	Actiniaria	Exact	Dyntaxa		
Actinocyclus octonarius var, octonarius	Actinocyclus octonarius var. octonarius	antag felstav			
Actinocylus octonarius	Actinocyclus octonarius	antag felstav			
Actinoptychus octonarius	Actinocyclus octonarius	Exact	Dyntaxa		
Acutodesmus acuminatus	Tetradesmus lagerheimii	Exact	Dyntaxa		
Acutodesmus obliquus	Tetradesmus obliquus	Exact	Dyntaxa		
Aglaophamus pulchra	Aglaophamus pulcher	Exact	Dyntaxa		
